Date,Batting Team,Bowling Team,Striker,Non-Striker,Bowler,Innings,Unique,Over Number,Over Ball,Runs,Wides,Team Runs,Remaining Overs,Lead By,Trail By,Fall Of Wickets,Day,Session,Leg Byes,No Balls,Balls,Byes,Remaining Balls,Remaining Runs,Run Rate,Batter Sixes,Batter Runs,Batter Fours,Batter Balls,Batter Total Runs,Dismissal Type,Dismissal Fielder,On Field Minutes,Shot Angle,Shot Magnitude,Wagon Position,Pitching Length,Pitching Line,Shot Connection,False Shot,Feet Movement,Shot Type,Delivery Type,Bowling Side,Bowling Type,Bowling Hand,Catch Difficulty,Bounce_Angle,Pitch_x,Pitch_y,Friction,Restitution,Deviation,Reaction Time,Release Speed,Swing,Swing Distance,Six Distance
2025-4-06 19:30:00,Rajasthan Royals,Punjab Kings,Yashasvi Jaiswal,Sanju Samson,Arshdeep Singh,1,0.1,1,1,1,1,1,20.0,0,0,0,1,1,0,0,0,0,120,,0.0,0,0,0,0,0,,,0,90,48,Wicketkeeper,Length Delivery,Wide Off,Missed,1,Down The Track,Drive,Out Swing,Over,Fast,Left,0.0,8.789,7.664,0.61,-0.053,0.667,0.321,0.602,73.904,3.176,0.301,-1.0
2025-4-06 19:30:00,Rajasthan Royals,Punjab Kings,Yashasvi Jaiswal,Sanju Samson,Arshdeep Singh,1,0.1,1,2,1,0,2,19.5,0,0,0,1,1,0,0,1,0,119,,12.0,0,1,0,1,1,,,0,163,129,Deep Backward Square Leg,Length Delivery,Middle stump,Good,0,Front Foot,Worked,Out Swing,Over,Fast,Left,0.0,6.854,7.35,-0.027,0.142,0.515,1.158,0.509,80.127,2.584,0.242,-1.0
2025-4-06 19:30:00,Rajasthan Royals,Punjab Kings,Sanju Samson,Yashasvi Jaiswal,Arshdeep Singh,1,0.2,1,3,0,0,2,19.4,0,0,0,1,1,0,0,2,0,118,,6.0,0,0,0,1,0,,,0,223,37,Short Extra Cover,Length Delivery,Outside Leg,Good,0,Back Foot,Backward Defensive,Out Swing,Over,Fast,Left,0.0,8.641,7.929,0.188,0.106,0.602,0.321,0.521,80.431,-1.472,-0.277,-1.0
2025-4-06 19:30:00,Rajasthan Royals,Punjab Kings,Sanju Samson,Yashasvi Jaiswal,Arshdeep Singh,1,0.3,1,4,4,0,6,19.3,0,0,0,1,1,0,0,3,0,117,,12.0,0,4,1,2,4,,,0,35,163,Fine Leg,Back of Length,Outside Leg,Middled,0,Back Foot,Flick,InSwinger,Over,Fast,Left,0.0,8.041,8.729,0.116,0.167,0.56,1.312,0.512,81.468,2.54,0.207,-1.0
2025-4-06 19:30:00,Rajasthan Royals,Punjab Kings,Sanju Samson,Yashasvi Jaiswal,Arshdeep Singh,1,0.4,1,5,3,0,9,19.2,0,0,0,1,1,0,0,4,0,116,,13.5,0,3,1,3,7,,,0,324,165,Deep Mid Wicket,Length Delivery,Leg stump,Middled,0,Front Foot,Worked,InSwinger,Over,Fast,Left,0.0,7.413,7.244,0.005,0.139,0.572,0.7,0.508,82.19,2.647,0.25,-1.0
2025-4-06 19:30:00,Rajasthan Royals,Punjab Kings,Yashasvi Jaiswal,Sanju Samson,Arshdeep Singh,1,0.5,1,6,0,0,9,19.1,0,0,0,1,1,0,0,5,0,115,,10.8,0,0,0,2,1,,,0,243,75,Mid On,Length Delivery,Middle stump,MisTimed,1,Back Foot,Worked,Out Swing,Over,Fast,Left,0.0,7.911,7.78,0.007,0.135,0.581,1.106,0.501,82.085,1.167,0.105,-1.0
2025-4-06 19:30:00,Rajasthan Royals,Punjab Kings,Yashasvi Jaiswal,Sanju Samson,Arshdeep Singh,1,0.6,1,7,1,0,10,19.0,0,0,0,1,1,0,0,6,0,114,,10.0,0,1,0,3,2,,,0,161,149,Deep Backward Square Leg,Back of Length,Off stump,Middled,0,Back Foot,Pull,Straight Ball,Over,Fast,Left,0.0,8.459,9.261,0.149,0.114,0.558,-0.404,0.497,81.243,-0.237,-0.018,-1.0
2025-4-06 19:30:00,Rajasthan Royals,Punjab Kings,Yashasvi Jaiswal,Sanju Samson,Marco Jansen,1,1.1,2,1,1,0,11,18.5,0,0,0,1,1,0,0,7,0,113,,9.42,0,1,0,4,3,,,0,22,142,Deep Backward Point,Back of Length,Wide Off,Good,0,Back Foot,Cut,Out Swing,Over,Fast,Left,0.0,8.027,8.698,0.532,0.114,0.547,0.044,0.541,82.045,2.493,0.183,-1.0
2025-4-06 19:30:00,Rajasthan Royals,Punjab Kings,Sanju Samson,Yashasvi Jaiswal,Marco Jansen,1,1.2,2,2,1,0,12,18.4,0,0,0,1,1,0,0,8,0,112,,9.0,0,1,1,4,8,,,0,331,100,Mid Wicket,Length Delivery,Outside Leg,Good,0,Front Foot,Worked,InSwinger,Over,Fast,Left,0.0,6.731,6.68,0.078,0.115,0.506,0.879,0.49,83.159,0.918,0.096,-1.0
2025-4-06 19:30:00,Rajasthan Royals,Punjab Kings,Yashasvi Jaiswal,Sanju Samson,Marco Jansen,1,1.3,2,3,0,0,12,18.3,0,0,0,1,1,0,0,9,0,111,,8.0,0,0,0,5,3,,,0,90,48,Wicketkeeper,Length Delivery,Outside Off,Missed,1,Back Foot,Cut,Out Swing,Over,Fast,Left,0.0,8.86,7.331,0.492,0.13,0.633,-0.446,0.54,82.826,2.403,0.223,-1.0
